episode,duration
0,0
1,0
2,0
3,0
4,25
5,19
6,35
7,19
8,19
9,50
10,50
11,50
12,33
13,19
14,19
15,51
16,50
17,50
18,50
19,51
20,50
21,50
22,50
23,50
24,50
25,50
26,50
27,50
28,50
29,53
30,50
31,51
32,50
33,50
34,50
35,50
36,51
37,19
38,52
39,52
40,52
41,51
42,50
43,19
44,19
45,62
46,50
47,50
48,50
49,50
50,50
51,50
52,19
53,50
54,50
55,50
56,50
57,50
58,50
59,50
60,50
61,50
62,50
63,50
64,50
65,50
66,50
67,50
68,50
69,50
70,50
71,50
72,50
73,50
74,50
75,50
76,50
77,50
78,50
79,50
80,50
81,50
82,50
83,50
84,50
85,19
86,50
87,50
88,50
89,50
90,50
91,50
92,50
93,50
94,50
95,50
96,50
97,50
98,50
99,50
100,50
101,50
102,50
103,50
104,50
105,50
106,50
107,50
108,50
109,50
110,50
111,50
112,50
113,50
114,50
115,50
116,50
117,50
118,50
119,50
120,50
121,50
122,50
123,50
124,50
125,50
126,50
127,50
128,50
129,50
130,50
131,50
132,50
133,50
134,50
135,50
136,50
137,50
138,50
139,50
140,50
141,50
142,50
143,50
144,50
145,50
146,50
147,50
148,50
149,50
150,50
151,50
152,50
153,50
154,50
155,50
156,50
157,50
158,50
159,50
160,50
161,62
162,60
163,19
164,19
165,19
166,19
167,19
168,19
169,19
170,57
171,60
172,50
173,62
174,50
175,56
176,58
177,55
178,50
179,50
180,50
181,50
182,50
183,50
184,50
185,61
186,50
187,50
188,62
189,50
190,51
191,50
192,51
193,50
194,50
195,62
196,50
197,50
198,61
199,50
200,50
201,50
202,62
203,60
204,62
205,50
206,61
207,50
208,63
209,50
210,19
211,19
212,50
213,50
214,50
215,50
216,50
217,50
218,19
219,19
220,61
221,50
222,60
223,50
224,50
225,19
226,50
227,50
228,50
229,19
230,19
231,50
232,50
233,19
234,50
235,61
236,50
237,50
238,50
239,50
240,50
241,50
242,50
243,50
244,50
245,50
246,50
247,50
248,50
249,50
250,50
251,50
252,50
253,50
254,50
255,50
256,50
257,51
258,60
259,50
260,61
261,50
262,52
263,50
264,62
265,50
266,61
267,50
268,50
269,61
270,51
271,62
272,51
273,59
274,60
275,50
276,61
277,50
278,58
279,50
280,61
281,59
282,57
283,50
284,50
285,50
286,59
287,50
288,61
289,60
290,50
291,50
292,56
293,50
294,50
295,50
296,50
297,50
298,50
299,50
300,50
301,50
302,50
303,50
304,50
305,50
306,50
307,50
308,50
309,50
310,50
311,50
312,50
313,50
314,50
315,50
316,50
317,50
318,50
319,50
320,50
321,50
322,50
323,19
324,19
325,19
326,19
327,19
328,19
329,19
330,19
331,19
332,19
333,19
334,19
335,61
336,50
337,50
338,50
339,50
340,50
341,50
342,50
343,50
344,50
345,50
346,50
347,50
348,50
349,50
350,50
351,50
352,50
353,50
354,50
355,50
356,50
357,50
358,50
359,50
360,50
361,50
362,50
363,50
364,50
365,50
366,50
367,50
368,50
369,50
370,50
371,50
372,50
373,50
374,50
375,50
376,50
377,50
378,50
379,50
380,50
381,50
382,50
383,50
384,50
385,50
386,51
387,50
388,50
389,50
390,50
391,50
392,50
393,50
394,50
395,51
396,50
397,50
398,50
399,58
400,50
401,50
402,63
403,51
404,50
405,51
406,50
407,50
408,57
409,51
410,50
411,50
412,50
413,50
414,50
415,50
416,50
417,50
418,50
419,50
420,50
421,50
422,50
423,50
424,50
425,50
426,50
427,50
428,50
429,50
430,50
431,50
432,50
433,50
434,50
435,50
436,50
437,50
438,50
439,50
440,50
441,50
442,50
443,50
444,50
445,50
446,50
447,50
448,50
449,50
450,50
451,50
452,50
453,50
454,50
455,50
456,50
457,50
458,50
459,50
460,50
461,50
462,50
463,50
464,50
465,50
466,50
467,50
468,50
469,50
470,50
471,50
472,50
473,50
474,50
475,50
476,50
477,50
478,50
479,50
480,50
481,50
482,50
483,50
484,50
485,50
486,50
487,50
488,50
489,50
490,50
491,50
492,50
493,50
494,50
495,50
496,50
497,50
498,50
499,50
500,50
501,50
502,50
503,50
504,50
505,50
506,50
507,50
508,50
509,50
510,50
511,50
512,50
513,50
514,50
515,50
516,50
517,50
518,50
519,50
520,50
521,50
522,50
523,50
524,50
525,50
526,50
527,50
528,50
529,50
530,50
531,50
